name,seed,batch_size,n_batches,time_sec,imagenet_head_acc,init_head_acc,finetuned_acc,finetuned_acc_percent,output_json,returncode
baseline_32_256_s42,42,32,256,106.21,0.0037,0.0122,0.0121,1.21,runs/baseline_32_256_s42.json,0
batch16_512_s42,42,16,512,115.42,0.0037,0.0122,0.0121,1.21,runs/batch16_512_s42.json,0
batch64_128_s42,42,64,128,101.6,0.0037,0.0122,0.0122,1.22,runs/batch64_128_s42.json,0
xavier_32_256_s42,42,32,256,100.42,0.0037,0.0122,0.0121,1.21,runs/xavier_32_256_s42.json,0
xavier_64_128_s42,42,64,128,101.63,0.0037,0.0122,0.0122,1.22,runs/xavier_64_128_s42.json,0
norm_32_256_s42,42,32,256,107.4,0.0037,0.0089,0.0089,0.89,runs/norm_32_256_s42.json,0
norm_64_128_s42,42,64,128,101.52,0.0037,0.0089,0.0089,0.89,runs/norm_64_128_s42.json,0
mmnt_color_crop_xav_32_256_s42,42,32,256,115.99,0.0037,0.0122,0.0119,1.19,runs/mmnt_color_crop_xav_32_256_s42.json,0
mmnt_color_crop_xav_64_128_s42,42,64,128,110.05,0.0037,0.0122,0.012,1.2,runs/mmnt_color_crop_xav_64_128_s42.json,0
mmnt_crop_xav_32_256_s42,42,32,256,107.02,0.0037,0.0122,0.0119,1.19,runs/mmnt_crop_xav_32_256_s42.json,0
mmnt_crop_xav_64_128_s42,42,64,128,102.25,0.0037,0.0122,0.012,1.2,runs/mmnt_crop_xav_64_128_s42.json,0
spsa_mmnt_xav_32_256_s42,42,32,256,107.05,0.0037,0.0122,0.0121,1.21,runs/spsa_mmnt_xav_32_256_s42.json,0
spsa_mmnt_xav_64_128_s42,42,64,128,101.94,0.0037,0.0122,0.0119,1.19,runs/spsa_mmnt_xav_64_128_s42.json,0
balanced_mmnt_xav_32_256_s42,42,32,256,106.67,0.0037,0.0122,0.0118,1.18,runs/balanced_mmnt_xav_32_256_s42.json,0
balanced_mmnt_xav_64_128_s42,42,64,128,101.45,0.0037,0.0122,0.0121,1.21,runs/balanced_mmnt_xav_64_128_s42.json,0
spsa_balanced_mmnt_xav_64_128_s42,42,64,128,75.11,0.0037,0.0122,0.0146,1.46,runs/spsa_balanced_mmnt_xav_64_128_s42.json,0
bn_spsa_balanced_mmnt_xav_64_128_s42,42,64,128,78.47,0.0037,0.0122,0.015,1.5,runs/bn_spsa_balanced_mmnt_xav_64_128_s42.json,0
crop_color_bn_spsa_balanced_mmnt_xav_64_128_s42,42,64,128,87.88,0.0037,0.0122,0.0148,1.48,runs/crop_color_bn_spsa_balanced_mmnt_xav_64_128_s42.json,0
eps3e4_bn_spsa_balanced_mmnt_xav_64_128_s42,42,64,128,80.08,0.0037,0.0122,0.0148,1.48,runs/eps3e4_bn_spsa_balanced_mmnt_xav_64_128_s42.json,0
eps1e4_bn_spsa_balanced_mmnt_xav_64_128_s42,42,64,128,79.2,0.0037,0.0122,0.015,1.5,runs/eps1e4_bn_spsa_balanced_mmnt_xav_64_128_s42.json,0
lr1e2_bn_spsa_balanced_mmnt_xav_64_128_s42,42,64,128,78.24,0.0037,0.0122,0.0134,1.34,runs/lr1e2_bn_spsa_balanced_mmnt_xav_64_128_s42.json,0
lr3e3_bn_spsa_balanced_mmnt_xav_64_128_s42,42,64,128,78.7,0.0037,0.0122,0.0122,1.22,runs/lr3e3_bn_spsa_balanced_mmnt_xav_64_128_s42.json,0
lr1e3_bn_spsa_balanced_mmnt_xav_64_128_s42,42,64,128,78.78,0.0037,0.0122,0.012,1.2,runs/lr1e3_bn_spsa_balanced_mmnt_xav_64_128_s42.json,0
bn_spsa_balanced_mmnt_xav_64_128_s42,42,32,256,82.02,0.0037,0.0122,0.0139,1.39,runs/bn_spsa_balanced_mmnt_xav_64_128_s42.json,0
bn_spsa_balanced_mmnt_xav_64_128_s42,42,64,128,78.44,0.0037,0.0122,0.015,1.5,runs/bn_spsa_balanced_mmnt_xav_64_128_s42.json,0
bn_spsa_balanced_mmnt_xav_64_128_s42,42,16,512,86.29,0.0037,0.0122,0.0149,1.49,runs/bn_spsa_balanced_mmnt_xav_64_128_s42.json,0
bneval_bn_spsa_balanced_mmnt_xav_64_128_s42,42,64,128,78.45,0.0037,0.0122,0.015,1.5,runs/bneval_bn_spsa_balanced_mmnt_xav_64_128_s42.json,0
